goodsid,title,price,ziying,bimg,simg1,simg2,simg3,simg4,simg5,pinglun,haiwaigou,renqi,xiaoliangtime,time,mingzi,zhongliang
18,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,3245,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,44345,,19,349,0:00:00,汤臣倍健,17.3
19,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,455,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,243,haiwaigou.png,20,350,0:00:00,汤臣倍健,18.3
20,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,345,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,567,,21,351,0:00:00,金维他,19.3
21,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,909,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,77,,22,352,0:00:00,来益,20.3
22,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,9087,ziying.png,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,567,,23,353,0:00:00,汤臣倍健,21.3
23,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,870,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,664,haiwaigou.png,24,354,0:00:00,汤臣倍健,22.3
24,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,809,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,6574567,,25,355,0:00:00,金维他,23.3
25,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,8970,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,6456,,26,356,0:00:00,来益,24.3
26,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,586,ziying.png,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,6556,haiwaigou.png,27,357,0:00:00,汤臣倍健,25.3
27,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,6868,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,65456,,28,358,0:00:00,汤臣倍健,26.3
28,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,678,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,6645,,29,359,0:00:00,金维他,27.3
29,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,8658,ziying.png,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,776,,30,360,0:00:00,来益,28.3
30,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,768,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,6456,,31,361,0:00:00,汤臣倍健,29.3
31,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,8658,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,643,haiwaigou.png,32,362,0:00:00,汤臣倍健,30.3
32,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,856,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,6575,,33,363,0:00:00,金维他,31.3
33,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,658,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,575,,34,364,0:00:00,来益,32.3
34,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5688,ziying.png,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,65745,haiwaigou.png,35,365,0:00:00,汤臣倍健,33.3
35,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5689,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,767,,36,366,0:00:00,汤臣倍健,34.3
36,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5690,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,774567,,37,367,0:00:00,金维他,35.3
37,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,4322,ziying.png,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,43252,haiwaigou.png,38,368,0:00:00,来益,36.3
38,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5692,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,888,,39,369,0:00:00,汤臣倍健,37.3
39,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5693,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,5665,,40,370,0:00:00,汤臣倍健,38.3
40,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5694,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,456,,41,371,0:00:00,金维他,39.3
41,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,5695,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,457,,42,372,0:00:00,来益,40.3
42,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5696,ziying.png,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,458,haiwaigou.png,43,373,0:00:00,汤臣倍健,41.3
43,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5697,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,459,,44,374,0:00:00,汤臣倍健,42.3
44,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5698,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,460,,45,375,0:00:00,金维他,43.3
45,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,234,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,461,,46,376,0:00:00,来益,44.3
46,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5700,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,462,,47,377,0:00:00,汤臣倍健,45.3
47,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5701,ziying.png,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,463,,48,378,0:00:00,汤臣倍健,46.3
48,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5702,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,464,haiwaigou.png,49,379,0:00:00,金维他,47.3
49,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,435,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,465,,50,380,0:00:00,来益,48.3
50,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5704,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,466,,51,381,0:00:00,汤臣倍健,49.3
51,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,6456,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,467,,52,382,0:00:00,汤臣倍健,50.3
52,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5706,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,468,haiwaigou.png,53,383,0:00:00,金维他,51.3
53,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,5707,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,469,,54,384,0:00:00,来益,52.3
54,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,3466,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,470,,55,385,0:00:00,汤臣倍健,53.3
55,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5709,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,471,,56,386,0:00:00,汤臣倍健,54.3
56,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5710,ziying.png,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,472,,57,387,0:00:00,金维他,55.3
57,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,5711,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,473,haiwaigou.png,58,388,0:00:00,来益,56.3
58,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5712,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,474,,59,389,0:00:00,汤臣倍健,57.3
59,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,346346,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,475,,60,390,0:00:00,汤臣倍健,58.3
60,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5714,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,476,haiwaigou.png,61,391,0:00:00,金维他,59.3
61,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,5715,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,477,,62,392,0:00:00,来益,60.3
62,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5716,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,478,,63,393,0:00:00,汤臣倍健,61.3
63,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,34643,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,479,,64,394,0:00:00,汤臣倍健,62.3
64,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5718,ziying.png,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,480,,65,395,0:00:00,金维他,63.3
65,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,5719,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,481,haiwaigou.png,66,396,0:00:00,来益,64.3
66,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,6346,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,482,,67,397,0:00:00,汤臣倍健,65.3
67,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5721,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,483,,68,398,0:00:00,汤臣倍健,66.3
68,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5722,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,484,haiwaigou.png,69,399,0:00:00,金维他,67.3
69,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,34643,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,485,,70,400,0:00:00,来益,68.3
70,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5724,ziying.png,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,486,,71,401,0:00:00,汤臣倍健,69.3
71,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5725,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,487,,72,402,0:00:00,汤臣倍健,70.3
72,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5726,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,488,,73,403,0:00:00,金维他,71.3
73,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,658568,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,489,,74,404,0:00:00,来益,72.3
74,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5728,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,490,,75,405,0:00:00,汤臣倍健,73.3
75,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5729,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,491,,76,406,0:00:00,汤臣倍健,74.3
76,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,6856,ziying.png,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,492,,77,407,0:00:00,金维他,75.3
77,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,5731,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,493,haiwaigou.png,78,408,0:00:00,来益,76.3
78,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,46346,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,494,,79,409,0:00:00,汤臣倍健,77.3
79,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5733,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,495,,80,410,0:00:00,汤臣倍健,78.3
80,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5734,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,496,haiwaigou.png,81,411,0:00:00,金维他,79.3
81,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,5735,ziying.png,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,497,,82,412,0:00:00,来益,80.3
82,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5736,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,498,,83,413,0:00:00,汤臣倍健,81.3
83,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5737,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,499,,84,414,0:00:00,汤臣倍健,82.3
84,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5738,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,500,,85,415,0:00:00,金维他,83.3
85,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,5739,ziying.png,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,501,haiwaigou.png,86,416,0:00:00,来益,84.3
86,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5740,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,502,,87,417,0:00:00,汤臣倍健,85.3
87,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5741,,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,503,,88,418,0:00:00,汤臣倍健,86.3
88,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5742,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,504,,89,419,0:00:00,金维他,87.3
89,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,5743,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,505,,90,420,0:00:00,来益,88.3
90,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5744,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,506,,91,421,0:00:00,汤臣倍健,89.3
91,汤臣倍健 多维男士多种维生素矿物质片 1.5g/片*60片 *2件,5745,ziying.png,tang.jpg,t1.jpg,t2.jpg,t3.jpg,t4.jpg,t5.jpg,507,haiwaigou.png,92,422,0:00:00,汤臣倍健,90.3
92,21金维他 多维元素片 100片含12种维生素，8种矿物质，1种氨基酸促进维矿物质吸收，强化VA、VB好配方更适合中国人体质；成人及12岁以上儿童，一日2片，12岁以下1日1片，饭后服用,5746,,jinweita.jpg,j1.jpg,j2.jpg,j3.jpg,j4.jpg,j5.jpg,508,,93,423,0:00:00,金维他,91.3
93,来益牌 叶黄素咀嚼片 450mg*30片每日一粒，1瓶约1个月量，呵护双眼，缓解视力疲劳，眼睛干涩者、视力模糊者适用,5747,,shili.jpg,s1.jpg,s2.jpg,s3.jpg,s4.jpg,s5.jpg,509,,94,424,0:00:00,来益,92.3
94,汤臣倍健 天然β-胡萝卜素软胶囊 0.5g*100粒来自澳大利亚进口的胡萝卜素，每粒含4.71mg胡萝卜素，1瓶约3个月量,5748,,huluobo.jpg,h1.jpg,h2.jpg,h3.jpg,h4.jpg,h5.jpg,510,,95,425,0:00:00,汤臣倍健,93.3
